,zc
2490,60610
2491,60614
2492,60622
2493,60626
2494,60618-9997
2495,60618
2496,60620
2497,60620
2498,60640
2499,60604
2500,60696
2501,60604
2502,60604
2503,60604
2504,60602
2505,60604
2506,60602
2507,60604
2508,60657
2509,60657
2510,nan
2511,60661
2512,60661
2513,60606
2514,60610
2515,60610
2516,60661
2517,60610
2518,60657
2519,60601
2520,nan
2521,60651
2522,60622
2523,60651
2524,60606
2525,60654
2526,60657
2527,60657
2528,60657
2529,60622
2530,60605
2531,60625
2532,60610
2533,60610
2534,60610
2535,60614
2536,60610
2537,60613
2538,60614
2539,60614
2540,60614
2541,60610
2542,60614
2543,60610
2544,60610
2545,60610
2546,60607
2547,60642
2548,60614
2549,60604
2550,nan
2551,60606
2552,60603
2553,60696
2554,60602
2555,nan
2556,nan
2557,60611
2558,60607
2559,60620
2560,60612
2561,60607
2562,60601
2563,60606
2564,nan
2565,60601
2566,60605
2567,60640
2568,60647
2569,60605
2570,60605
2571,60610
2572,60612
2573,60641
2574,60611
2575,60696
2576,60611
2577,60661
2578,60611
2579,60661
2580,60651
2581,60661
2582,60651
2583,60611
2584,60696
2585,60661
2586,60611
2587,60651
2588,60611
2589,60601
2590,60611
2591,60601
2592,60647
2593,60647
2594,60657
2595,nan
2596,60657
2597,60647
2598,60654
2599,60661
2600,60606
2601,60618
2602,60618
2603,60618
2604,60618
2605,60618
2606,60613
2607,60618
2608,60618
2609,60614
2610,60622
2611,60622
2612,60622
2613,60622
2614,60654
2615,60606
2616,nan
2617,60618-9997
2618,60618
2619,60618-9997
2620,60661
2621,60653
2622,60616
2623,60616
2624,60610
2625,60605
2626,60616
2627,60620
2628,60622
2629,60657
2630,60201
2631,60618
2632,nan
2633,60657
2634,60618
2635,60614
2636,60615
2637,60614
2638,60654
2639,60642
2640,60642
2641,60661
2642,60642
2643,60642
2644,60608
2645,60661
2646,60614
2647,60604
2648,60606
2649,nan
2650,60661
2651,60641
2652,60606
2653,60610
2654,60661
2655,60610
2656,60661
2657,60661
2658,60610
2659,60613
2660,60657
2661,60661
2662,60610
2663,60657
2664,60614
2665,60610
2666,60610
2667,60610
2668,60610
2669,60611
2670,60610
2671,60614
2672,60610
2673,60610
2674,60610
2675,60661
2676,60610
2677,60610
2678,60610
2679,60091
2680,nan
2681,60610
2682,60610
2683,60618
2684,60618
2685,60611
2686,60606
2687,60601
2688,60606
2689,60601
2690,60601
2691,60610
2692,60601
2693,60601
2694,60601
2695,60611
2696,60661
2697,60601
2698,60610
2699,60611
2700,60606
2701,60601
2702,60642
2703,60610
2704,60610
2705,60614
2706,60696
2707,60610
2708,60601
2709,60610
2710,60604
2711,9020
2712,9020
2713,nan
2714,60618
2715,60601
2716,9020
2717,60618
2718,60601
2719,60612
2720,60607
2721,60612
2722,60606
2723,60661
2724,60611
2725,60661
2726,60611
2727,60618
2728,60661
2729,60661
2730,60661
2731,60606
2732,60610
2733,60610
2734,60606
2735,60661
2736,60606
2737,60606
2738,60661
2739,60615
2740,60615
2741,60637
2742,60610
2743,60610
2744,60661
2745,60610
2746,60610
2747,60661
2748,60613
2749,60610
2750,60610
2751,60610
2752,60610
2753,60610
2754,60610
2755,60610
2756,nan
2757,60610
2758,60610
2759,60610
2760,60696
2761,nan
2762,60605
2763,nan
2764,60622
2765,60696
2766,60604
2767,nan
2768,nan
2769,60604
2770,60696
2771,60604
2772,60603
2773,nan
2774,60620
2775,60606
2776,nan
2777,60608
2778,60608
2779,60607
2780,60607
2781,60654
2782,60608
2783,60608
2784,60607
2785,60608
2786,60647
2787,60613
2788,60613
2789,60657
2790,60647
2791,60601
2792,60610
2793,60614
2794,60606
2795,60610
2796,60601
2797,60696
2798,60640
2799,60640
2800,60640
2801,60651
2802,60622
2803,60622
2804,60601
2805,60657
2806,60618-9997
2807,9020
2808,60601
2809,60601
2810,60601
2811,60637
2812,60615
2813,60609
2814,60657
2815,60618
2816,60618
2817,60657
2818,60618
2819,60661
2820,60606
2821,60661
2822,60611
2823,60657
2824,60610
2825,60654
2826,nan
2827,60606
2828,60606
2829,60606
2830,60614
2831,60606
2832,60606
2833,60606
2834,60606
2835,60606
2836,60606
2837,60607
2838,60657
2839,60657
2840,nan
2841,60611
2842,60611
2843,60657
2844,60657
2845,60606
2846,60613
2847,60610
2848,60606
2849,60612
2850,60606
2851,60606
2852,60612
2853,60606
2854,60612
2855,nan
2856,nan
2857,60616
2858,60607
2859,60616
2860,60616
2861,60602
2862,60657
2863,60602
2864,60602
2865,60610
2866,60610
2867,60614
2868,60625
2869,60616
2870,60622
2871,60622
2872,60601
2873,60625
2874,60616
2875,60610
2876,60616
2877,60610
2878,60604
2879,60610
2880,60610
2881,nan
2882,60610
2883,60625
2884,60625
2885,60661
2886,60618
2887,60657
2888,60626
2889,60606
2890,60614
2891,60651
2892,nan
2893,60610
2894,60618
2895,60614
2896,60651
2897,60618
2898,60651
2899,60645
2900,60625
2901,60625
2902,60625
2903,60625
2904,60647
2905,60603
2906,60605
2907,60601
2908,60606
2909,60606
2910,60601
2911,60611
2912,60606
2913,60696
2914,60651
2915,60651
2916,60696
2917,60661
2918,60611
2919,60611
2920,60651
2921,60651
2922,60696
2923,60611
2924,60661
2925,60651
2926,60622
2927,60614
2928,60613
2929,60614
2930,60601
2931,9020
2932,60618
2933,60651
2934,60651
2935,60622
2936,60622
2937,60622
2938,60651
2939,60607
2940,60651
2941,60651
2942,60622
2943,60622
2944,60616
2945,60653
2946,60653
2947,60601
2948,60601
2949,60606
2950,60606
2951,60601
2952,60657
2953,60608
2954,60607
2955,60607
2956,60607
2957,60608
2958,60606
2959,60607
2960,60607
2961,60606
2962,60661
2963,60606
2964,60610
2965,60610
2966,60610
2967,60654
2968,60614
2969,60607
2970,60661
2971,60606
2972,60606
2973,60611
2974,60637
2975,nan
2976,60661
2977,60606
2978,60606
2979,60661
2980,60606
2981,60606
2982,60606
2983,nan
2984,nan
2985,60611
2986,60606
2987,60654
2988,60602
2989,60611
2990,60606
2991,60614
2992,60606
2993,60614
2994,9020
2995,60610
2996,60610
2997,60610
2998,nan
2999,60607
3000,60610
3001,60610
3002,60610
3003,60657
3004,60610
3005,60661
3006,60613
3007,60610
3008,60696
3009,60606
3010,60610
3011,60610
3012,60614
3013,60608
3014,60661
3015,60608
3016,60608
3017,60608
3018,60661
3019,60657
3020,60661
3021,60607
3022,60610
3023,60612
3024,60661
3025,60661
3026,60608
3027,60661
3028,60614
3029,60622
3030,60607
3031,60608
3032,60622
3033,60622
3034,60622
3035,60642
3036,60661
3037,60608
3038,60622
3039,60657
3040,60642
3041,60661
3042,60661
3043,60601
3044,60625
3045,60612
3046,60625
3047,60622
3048,60657
3049,606476
3050,nan
3051,nan
3052,nan
3053,60601
3054,60661
3055,60661
3056,60606
3057,60610
3058,60618
3059,60610
3060,60614
3061,60610
3062,60606
3063,60696
3064,60625
3065,60657
3066,60606
3067,60642
3068,60642
3069,60607
3070,60611
3071,60622
3072,60614
3073,60606
3074,60607
3075,60645
3076,60604
3077,60606
3078,60622
3079,60614
3080,60661
3081,60661
3082,60661
3083,60661
3084,60661
3085,60610
3086,60622
3087,60611
3088,60606
3089,60622
3090,60626
3091,60660
3092,60622
3093,60610
3094,60614
3095,60607
3096,60612
3097,60615
3098,60607
3099,60607
3100,60622
3101,60661
3102,60606
3103,60614
3104,60661
3105,60606
3106,60606
3107,60614
3108,60614
3109,60614
3110,60657
3111,60614
3112,60614
3113,60657
3114,60610
3115,60661
3116,60610
3117,60661
3118,60661
3119,60610
3120,60610
3121,60661
3122,nan
3123,60611
3124,60614
3125,60604
3126,60654
3127,nan
3128,60605
3129,60604
3130,60615
3131,60604
3132,60661
3133,60604
3134,60604
3135,60661
3136,60604
3137,60661
3138,60611
3139,60202
3140,60654
3141,60607
3142,60622
3143,60610
3144,60654
3145,60661
3146,60654
3147,60654
3148,60607
3149,60610
3150,60661
3151,60654
3152,60610
3153,60654
3154,60607
3155,60661
3156,60657
3157,60613
3158,60613
3159,60613
3160,60618-9997
3161,60610
3162,60603
3163,60606
3164,60610
3165,60603
3166,60606
3167,60657
3168,60657
3169,60640
3170,60640
3171,60612
3172,60614
3173,60302
3174,60642
3175,60601
3176,60661
3177,60601
3178,60601
3179,60606
3180,60642
3181,60661
3182,60613
3183,60613
3184,60606
3185,60606
3186,60604
3187,60601
3188,60661
3189,60606
3190,60202
3191,60642
3192,nan
3193,60604
3194,60625
3195,60614
3196,60651
3197,60605
3198,60614
3199,60605
3200,60614
3201,60611
3202,60606
3203,60614
3204,60661
3205,9020
3206,60614
3207,60654
3208,nan
3209,60614
3210,60614
3211,60661
3212,60606
3213,60606
3214,60661
3215,60642
3216,nan
3217,60601
3218,60614
3219,60606
3220,60616
3221,60611
3222,60606
3223,60637
3224,60606
3225,nan
3226,nan
3227,60637
3228,60615
3229,60615
3230,60637
3231,60606
3232,60615
3233,60604
3234,60606
3235,nan
3236,60606
3237,60604
3238,60606
3239,60604
3240,60606
3241,60604
3242,60654
3243,60654
3244,60654
3245,60622
3246,60654
3247,60654
3248,60651
3249,60642
3250,60606
3251,60606
3252,60642
3253,60611
3254,60611
3255,60610
3256,60611
3257,60614
3258,60601
3259,60620
3260,60610
3261,60610
3262,60614
3263,60654
3264,60654
3265,60614
3266,60654
3267,60610
3268,60610
3269,60610
3270,60622
3271,60622
3272,60610
3273,60610
3274,60606
3275,60610
3276,60606
3277,60606
3278,60606
3279,60606
3280,60622
3281,60611
3282,606476
3283,60640
3284,60606
3285,9020
3286,60622
3287,60654
3288,60612
3289,60612
3290,60602
3291,60622
3292,9020
3293,60606
3294,60602
3295,60622
3296,60612
3297,60604
3298,nan
3299,60607
3300,60661
3301,60610
3302,60610
3303,60611
3304,60610
3305,60610
3306,60611
3307,60610
3308,60611
3309,60610
3310,nan
3311,60606
3312,60616
3313,nan
3314,60616
3315,nan
3316,60613
3317,60657
3318,60616
3319,60660
3320,nan
3321,60660
3322,nan
3323,60660
3324,nan
3325,60616
3326,nan
3327,60660
3328,60657
3329,nan
3330,60610
3331,60657
3332,60614
3333,nan
3334,60657
3335,60613
3336,60610
3337,60613
3338,60613
3339,60618
3340,60625
3341,60613
3342,60613
3343,60657
3344,60613
3345,60613
3346,60618
3347,60613
3348,60613
3349,60657
3350,60612
3351,60603
3352,60614
3353,60661
3354,60601
3355,60661
3356,60661
3357,60661
3358,60661
3359,60601
3360,60602
3361,60661
3362,60661
3363,60601
3364,60661
3365,60661
3366,60601
3367,60645
3368,60660
3369,60616
3370,60696
3371,60611
3372,60616
3373,60603
3374,60654
3375,60607
3376,60607
3377,60606
3378,60616
3379,60616
3380,60616
3381,60616
3382,60654
3383,60601
3384,60604
3385,nan
3386,60611
3387,60610
3388,60601
3389,60610
3390,60610
3391,60610
3392,60614
3393,60616
3394,60616
3395,60610
3396,60601
3397,60610
3398,60616
3399,60601
3400,60610
3401,60610
3402,60604
3403,60604
3404,60606
3405,60604
3406,60606
3407,60661
3408,60613
3409,60626
3410,60613
3411,60613
3412,60091
3413,60613
3414,60626
3415,60625
3416,60091
3417,60613
3418,60201
3419,60640
3420,60616
3421,60626
3422,60201
3423,60640
3424,60613
3425,60091
3426,60613
3427,60201
3428,60613
3429,60626
3430,60640
3431,60091
3432,60201
3433,60640
3434,60613
3435,60201
3436,60091
3437,60637
3438,nan
3439,60696
3440,60602
3441,60610
3442,60610
3443,60610
3444,60610
3445,60654
3446,60610
3447,60610
3448,60654
3449,60654
3450,60610
3451,60610
3452,60611
3453,60654
3454,60614
3455,60654
3456,60610
3457,60602
3458,60602
3459,60602
3460,60606
3461,60614
3462,60610
3463,60604
3464,60606
3465,60661
3466,60606
3467,60612
3468,60606
3469,60604
3470,nan
3471,60611
3472,60605
3473,60625
3474,60616
3475,60601
3476,60601
3477,60601
3478,60616
3479,60601
3480,60601
3481,60612
3482,60612
3483,60606
3484,60601
3485,60606
3486,60606
3487,60606
3488,60601
3489,60606
3490,60610
3491,60610
3492,60614
3493,60644
3494,60607
3495,nan
3496,60661
3497,60642
3498,60612
3499,60612
3500,60661
3501,60642
3502,60647
3503,60618
3504,9020
3505,60606
3506,60642
3507,60606
3508,60642
3509,60606
3510,60607
3511,60642
3512,60610
3513,60607
3514,60606
3515,60607
3516,60606
3517,60613
3518,60642
3519,60610
3520,60606
3521,60610
3522,60610
3523,60606
3524,60614
3525,60601
3526,60657
3527,60611
3528,60611
3529,60608
3530,60696
3531,60601
3532,60601
3533,60601
3534,60607
3535,60607
3536,60661
3537,60607
3538,60605
3539,60622
3540,60622
3541,60614
3542,60614
3543,60606
3544,60611
3545,60602
3546,60614
3547,60614
3548,60696
3549,60602
3550,60604
3551,60610
3552,60661
3553,60606
3554,60606
3555,60603
3556,60661
3557,60601
3558,60606
3559,60613
3560,60661
3561,60654
3562,nan
3563,60614
3564,60654
3565,60610
3566,60654
3567,60654
3568,60654
3569,60610
3570,60610
3571,60606
3572,nan
3573,60606
3574,60612
3575,60625
3576,60622
3577,60612
3578,60607
3579,60642
3580,60602
3581,60605
3582,60614
3583,60657
3584,60607
3585,60607
3586,60603
3587,60618-9997
3588,60626
3589,60618
3590,60657
3591,nan
3592,nan
3593,nan
3594,60614
3595,60616
3596,60657
3597,60657
3598,60657
3599,60611
3600,nan
3601,60605
3602,60605
3603,60607
3604,60607
3605,60605
3606,60606
3607,60605
3608,60607
3609,60607
3610,60605
3611,60605
3612,60607
3613,60622
3614,60622
3615,60622
3616,60604
3617,60604
3618,60604
3619,60606
3620,60611
3621,60611
3622,60610
3623,60657
3624,60614
3625,60611
3626,60611
3627,60649
3628,60605
3629,60616
3630,nan
3631,nan
3632,60606
3633,nan
3634,nan
3635,nan
3636,nan
3637,nan
3638,60605
3639,nan
3640,60616
3641,60606
3642,60606
3643,60657
3644,60640
3645,60616
3646,60601
3647,60601
3648,60610
3649,60610
3650,60611
3651,60610
3652,60610
3653,60647
3654,60647
3655,60647
3656,60647
3657,60616
3658,60616
3659,60657
3660,60620
3661,60620
3662,60612
3663,60654
3664,60622
3665,60610
3666,60610
3667,60622
3668,60606
3669,60622
3670,60610
3671,60606
3672,60606
3673,60606
3674,60606
3675,60606
3676,60606
3677,60606
3678,60616
3679,60614
3680,60622
3681,60622
3682,60622
3683,60618
3684,60610
3685,60606
3686,60610
3687,60610
3688,60601
3689,60696
3690,60614
3691,60640
3692,60610
3693,60613
3694,60640
3695,60601
3696,60601
3697,60640
3698,60601
3699,60610
3700,60644
3701,60607
3702,60605
3703,60606
3704,60607
3705,60614
3706,60602
3707,60614
3708,60603
3709,60614
3710,60602
3711,60614
3712,60696
3713,60614
3714,60614
3715,60610
3716,60602
3717,60614
3718,60602
3719,60614
3720,60696
3721,60614
3722,nan
3723,60610
3724,60606
3725,60661
3726,60661
3727,60661
3728,60606
3729,60606
3730,60606
3731,60606
3732,60620
3733,60601
3734,60620
3735,60620
3736,60610
3737,nan
3738,60611
3739,60611
3740,60622
3741,60622
3742,60622
3743,nan
3744,60606
3745,60601
3746,60601
3747,60622
3748,60606
3749,60606
3750,60606
3751,60606
3752,60606
3753,60606
3754,60606
3755,60606
3756,60642
3757,60622
3758,60622
3759,60657
3760,60626
3761,60622
3762,60622
3763,60647
3764,60614
3765,60614
3766,60613
3767,60605
3768,60605
3769,60610
3770,60610
3771,60611
3772,60610
3773,60611
3774,60610
3775,60611
3776,60610
3777,60611
3778,60611
3779,60610
3780,60611
3781,60610
3782,60611
3783,60610
3784,60611
3785,60610
3786,60661
3787,60610
3788,60622
3789,60604
3790,60604
3791,60614
3792,60657
3793,60611
3794,60657
3795,60611
3796,60601
3797,60614
3798,60611
3799,60601
3800,60604
3801,nan
3802,60616
3803,60601
3804,nan
3805,60601
3806,nan
3807,60605
3808,60616
3809,nan
3810,60606
3811,60606
3812,60606
3813,60606
3814,60606
3815,60616
3816,60616
3817,60616
3818,60616
3819,60616
3820,60610
3821,60640
3822,60647
3823,60644
3824,60612
3825,60657
3826,60611
3827,60605
3828,60611
3829,60660
3830,nan
3831,60616
3832,60616
3833,60616
3834,60610
3835,60610
3836,60611
3837,60605
3838,60611
3839,60661
3840,60661
3841,60611
3842,60618
3843,60657
3844,60606
3845,60607
3846,60661
3847,60613
3848,60613
3849,60657
3850,60613
3851,60657
3852,60613
3853,60657
3854,60657
3855,60657
3856,60601
3857,60601
3858,60601
3859,60601
3860,60657
3861,60605
3862,60661
3863,60622
3864,9020
3865,9020
3866,60612
3867,60622
3868,60607
3869,60610
3870,60603
3871,60603
3872,60657
3873,60606
3874,60661
3875,nan
3876,nan
3877,60611
3878,60601
3879,nan
3880,60602
3881,60602
3882,60614
3883,60601
3884,60661
3885,60661
3886,60607
3887,60606
3888,60606
3889,60612
3890,60610
3891,60616
3892,60616
3893,60637
3894,60610
3895,60606
3896,60604
3897,60606
3898,60606
3899,60654
3900,60657
3901,60606
3902,nan
3903,nan
3904,nan
3905,60647
3906,60605
3907,60605
3908,60607
3909,60607
3910,60607
3911,60607
3912,60607
3913,60696
3914,60601
3915,60610
3916,60611
3917,60610
3918,60610
3919,60610
3920,60610
3921,60607
3922,60607
3923,60622
3924,60616
3925,60605
3926,nan
3927,nan
3928,nan
3929,60660
3930,60612
3931,60611
3932,60610
3933,60611
3934,60611
3935,60610
3936,60611
3937,60610
3938,60611
3939,60610
3940,60611
3941,60614
3942,60622
3943,60622
3944,60614
3945,60610
3946,60610
3947,60614
3948,60657
3949,60657
3950,60613
3951,60613
3952,60651
3953,60608
3954,60201
3955,60661
3956,60610
3957,60654
3958,60640
3959,60622
3960,60622
3961,60607
3962,nan
3963,60601
3964,60606
3965,60657
3966,nan
3967,60606
3968,60606
3969,60606
3970,60606
3971,60606
3972,60606
3973,60606
3974,60606
3975,60605
3976,606476
3977,60657
3978,60614
3979,60614
3980,60614
3981,60605
3982,60618-9997
3983,9020
3984,60626
3985,60606
3986,60696
3987,60601
3988,60601
3989,60605
3990,60661
3991,60661
3992,60612
3993,60625
3994,60642
3995,60610
3996,60608
3997,60612
3998,60616
3999,60613
4000,60611
4001,60610
4002,60610
4003,60610
4004,60616
4005,60622
4006,60622
4007,60616
4008,nan
4009,60616
4010,60611
4011,60616
4012,nan
4013,60653
4014,nan
4015,60601
4016,nan
4017,60616
4018,60607
4019,60606
4020,60610
4021,60661
4022,60610
4023,60610
4024,60661
4025,60610
4026,60611
4027,60606
4028,60601
4029,60616
4030,60604
4031,60610
4032,60601
4033,60696
4034,60696
4035,60601
4036,60607
4037,60661
4038,60605
4039,60605
4040,60605
4041,60605
4042,60607
4043,60606
4044,60607
4045,60606
4046,60604
4047,60607
4048,60603
4049,60605
4050,60605
4051,60607
4052,60607
4053,60605
4054,60657
4055,60613
4056,60657
4057,60613
4058,60660
4059,606476
4060,60607
4061,60607
4062,60657
4063,60611
4064,60611
4065,60657
4066,60611
4067,60606
4068,60620
4069,60606
4070,60601
4071,60606
4072,60661
4073,60602
4074,60610
4075,60654
4076,60610
4077,60654
4078,60610
4079,60654
4080,60610
4081,60654
4082,60610
4083,60654
4084,60654
4085,60654
4086,60606
4087,nan
4088,nan
4089,60696
4090,60601
4091,60606
4092,nan
4093,60611
4094,60606
4095,60606
4096,60606
4097,60606
4098,60606
4099,60606
4100,60606
4101,60607
4102,60625
4103,60657
4104,60626
4105,60645
4106,60657
4107,60657
4108,nan
4109,nan
4110,nan
4111,60606
4112,60607
4113,60607
4114,nan
4115,60606
4116,60606
4117,60606
4118,60606
4119,60610
4120,60610
4121,60612
4122,60610
4123,60661
4124,60611
4125,60610
4126,60607
4127,60614
4128,60614
4129,60603
4130,60603
4131,60605
4132,60603
4133,60603
4134,60607
4135,60612
4136,60607
4137,60647
4138,60647
4139,60612
4140,60612
4141,60647
4142,60616
4143,60606
4144,60626
4145,60601
4146,60607
4147,60607
4148,60611
4149,60620
4150,60601
4151,60696
4152,60607
4153,60607
4154,60645
4155,60657
4156,nan
4157,60616
4158,60616
4159,60616
4160,60647
4161,60612
4162,60642
4163,60607
4164,60661
4165,60604
4166,60607
4167,60607
4168,60607
4169,60607
4170,60657
4171,60657
4172,60657
4173,60611
4174,60614
4175,60657
4176,60607
4177,60606
4178,60661
4179,60614
4180,60610
4181,60610
4182,60654
4183,60610
4184,60618
4185,60613
4186,60606
4187,nan
4188,60602
4189,60605
4190,60647
4191,60647
4192,60606
4193,60647
4194,60604
4195,60625
4196,60622
4197,60604
4198,60622
4199,60606
4200,60612
4201,60622
4202,60645
4203,60626
4204,60626
4205,60696
4206,60626
4207,60657
4208,60606
4209,60606
4210,60603
4211,60603
4212,60618-9997
4213,60660
4214,60660
4215,60626
4216,60618-9997
4217,60626
4218,60626
4219,60626
4220,60606
4221,60606
4222,60606
4223,60606
4224,60606
4225,60606
4226,60647
4227,60607
4228,60610
4229,nan
4230,60614
4231,60610
4232,60610
4233,60614
4234,60614
4235,60614
4236,60610
4237,60625
4238,60610
4239,60645
4240,60614
4241,60610
4242,60610
4243,60654
4244,60654
4245,60654
4246,60614
4247,60614
4248,60601
4249,60657
4250,60614
4251,60657
4252,60611
4253,60657
4254,60613
4255,60613
4256,60625
4257,60606
4258,60606
4259,60606
4260,60625
4261,60606
4262,60606
4263,60607
4264,60606
4265,60606
4266,60626
4267,60626
4268,60626
4269,60626
4270,60626
4271,60657
4272,60657
4273,60626
4274,60620
4275,60657
4276,60612
4277,60606
4278,60612
4279,60612
4280,60612
4281,60657
4282,60601
4283,60601
4284,60601
4285,60601
4286,60601
4287,60657
4288,60661
4289,60661
4290,60661
4291,60607
4292,60644
4293,60618
4294,9020
4295,60601
4296,60601
4297,60696
4298,60601
4299,60696
4300,60601
4301,60696
4302,60601
4303,60610
4304,60601
4305,60661
4306,60613
4307,60618
4308,60610
4309,606476
4310,60622
4311,60622
4312,60616
4313,60614
4314,60614
4315,60609
4316,60610
4317,60637
4318,60615
4319,60610
4320,60610
4321,60607
4322,60606
4323,60607
4324,60610
4325,60610
4326,60607
4327,60606
4328,60661
4329,60610
4330,60606
4331,60610
4332,60657
4333,60607
4334,60610
4335,60601
4336,60610
4337,60614
4338,60610
4339,60613
4340,60616
4341,60657
4342,60622
4343,60657
4344,60612
4345,60612
4346,60620
4347,60606
4348,60614
4349,60611
4350,60637
4351,60657
4352,nan
4353,60614
4354,60610
4355,nan
4356,60604
4357,60606
4358,60612
4359,60606
4360,60647
4361,60647
4362,60647
4363,60608
4364,nan
4365,nan
4366,60647
4367,60609
4368,60611
4369,60611
4370,60610
4371,60614
4372,60611
4373,60610
4374,60606
4375,nan
4376,60616
4377,60657
4378,60626
4379,60645
4380,60610
4381,60611
4382,60640
4383,60601
4384,60601
4385,60657
4386,60614
4387,60622
4388,60616
4389,60601
4390,60601
4391,60696
4392,60604
4393,60607
4394,60607
4395,60607
4396,60605
4397,60605
4398,60601
4399,60607
4400,60607
4401,60605
4402,60606
4403,60605
4404,60605
4405,60605
4406,60605
4407,60605
4408,60605
4409,60607
4410,60605
4411,60602
4412,60614
4413,60614
4414,60614
4415,60602
4416,60610
4417,60614
4418,60602
4419,60602
4420,60601
4421,60614
4422,60611
4423,60602
4424,60601
4425,60614
4426,60611
4427,nan
4428,60607
4429,60657
4430,60657
4431,60620
4432,60601
4433,60601
4434,60622
4435,60622
4436,60622
4437,60661
4438,60612
4439,60605
4440,60606
4441,60606
4442,60612
4443,60605
4444,60612
4445,60622
4446,9020
4447,60607
4448,60622
4449,60622
4450,60661
4451,60606
4452,60622
4453,60605
4454,60612
4455,60606
4456,60622
4457,60657
4458,60661
4459,60607
4460,60607
4461,60614
4462,60657
4463,60607
4464,60607
4465,60601
4466,60616
4467,60644
4468,60647
4469,60647
4470,60647
4471,60647
4472,60647
4473,60091
4474,60601
4475,60622
4476,nan
4477,nan
4478,60610
4479,60610
4480,60611
4481,60610
4482,60610
4483,60601
4484,60642
4485,60611
4486,nan
4487,60601
4488,60601
4489,60696
4490,60607
4491,60610
4492,60696
4493,60601
4494,60601
4495,60622
4496,60622
4497,60696
4498,60602
4499,60614
4500,60614
4501,60610
4502,60610
4503,60613
4504,60657
4505,60614
4506,nan
4507,60613
4508,60613
4509,60614
4510,60613
4511,nan
4512,60622
4513,60647
4514,60606
4515,60601
4516,60605
4517,60612
4518,60610
4519,60607
4520,60647
4521,60618
4522,60606
4523,60606
4524,60606
4525,60606
4526,60606
4527,60606
4528,60605
4529,60606
4530,60604
4531,60603
4532,60657
4533,60657
4534,60645
4535,60645
4536,60657
4537,60626
4538,60603
4539,60605
4540,60603
4541,60603
4542,60606
4543,60605
4544,60603
4545,60603
4546,60605
4547,60606
4548,60611
4549,60610
4550,60614
4551,60611
4552,60640
4553,60657
4554,60602
4555,60661
4556,60661
4557,60607
4558,60601
4559,60601
4560,60661
4561,60601
4562,60660
4563,60660
4564,60613
4565,60618
4566,60604
4567,60606
4568,60605
4569,60661
4570,60606
4571,60606
4572,60605
4573,60605
4574,60606
4575,60604
4576,nan
4577,60654
4578,60610
4579,60654
4580,60610
4581,60610
4582,60654
4583,60614
4584,60614
4585,60606
4586,9020
4587,60606
4588,60606
4589,60606
4590,60606
4591,60606
4592,60614
4593,60610
4594,60642
4595,60642
4596,60642
4597,60614
4598,60614
4599,60606
4600,60614
4601,60606
4602,60614
4603,60642
4604,60607
4605,60616
4606,60616
4607,60616
4608,60661
4609,60661
4610,60610
4611,60601
4612,nan
4613,nan
4614,60661
4615,60611
4616,60611
4617,60657
4618,60611
4619,60613
4620,60611
4621,60611
4622,60614
4623,60601
4624,60614
4625,60606
4626,60601
4627,60616
4628,nan
4629,nan
4630,60616
4631,60601
4632,60606
4633,60606
4634,60606
4635,60626
4636,60626
4637,60626
4638,60626
4639,60626
4640,60626
4641,60605
4642,nan
4643,60605
4644,nan
4645,nan
4646,60607
4647,60607
4648,60601
4649,60611
4650,60618
4651,60601
4652,60641
4653,60601
4654,60611
4655,60611
4656,60611
4657,60601
4658,60661
4659,60606
4660,60605
4661,nan
4662,60616
4663,nan
4664,nan
4665,nan
4666,60653
4667,60605
4668,60614
4669,nan
4670,60661
4671,60607
4672,60661
4673,60661
4674,60660
4675,60660
4676,60607
4677,60661
4678,60601
4679,60647
4680,60607
4681,60607
4682,60607
4683,60604
4684,60609
4685,60616
4686,60606
4687,60091
4688,60091
4689,60616
4690,nan
4691,60625
4692,60611
4693,60616
4694,60616
4695,60604
4696,60626
4697,60091
4698,60605
4699,60616
4700,nan
4701,60616
4702,nan
4703,60611
4704,60606
4705,60614
4706,60606
4707,60607
4708,60606
4709,60606
4710,60606
4711,60606
4712,60607
4713,60606
4714,60606
4715,60661
4716,60614
4717,60610
4718,60601
4719,60601
4720,60601
4721,60601
4722,60601
4723,60613
4724,60613
4725,60614
4726,60601
4727,60622
4728,60606
4729,nan
4730,60647
4731,60605
4732,nan
4733,60604
4734,60647
4735,60637
4736,60607
4737,60607
4738,60611
4739,60657
4740,60606
4741,60606
4742,60604
4743,60604
4744,60604
4745,60604
4746,60657
4747,60606
4748,60604
4749,60661
4750,60661
4751,60601
4752,60625
4753,60611
4754,nan
4755,60661
4756,60661
4757,60661
4758,nan
4759,60611
4760,60661
4761,60616
4762,nan
4763,60601
4764,60661
4765,nan
4766,60618-9997
4767,60618-9997
4768,60611
4769,60657
4770,60626
4771,60647
4772,60626
4773,60610
4774,60614
4775,60661
4776,60661
4777,60654
4778,60647
4779,60622
4780,60607
4781,60607
4782,60607
4783,60603
4784,60607
4785,60607
4786,60605
4787,60607
4788,60607
4789,60607
4790,60605
4791,nan
4792,60605
4793,60602
4794,60606
4795,60604
4796,60625
4797,60614
4798,60606
4799,60640
4800,60625
4801,60614
4802,60654
4803,60654
4804,60607
4805,60607
4806,60607
4807,60607
4808,60657
4809,60614
4810,60604
4811,60606
4812,60601
4813,60606
4814,60607
4815,60607
4816,nan
