,zc
639,60603
640,60661
641,60654
642,60602
643,60661
644,60661
645,60610
646,60661
647,60661
648,60661
649,60611
650,60651
651,60647
652,60647
653,60647
654,60654
655,60618
656,60613
657,nan
658,60601
659,60618
660,60647
661,60614
662,60618
663,60647
664,60622
665,60201
666,60657
667,60660
668,60654
669,60606
670,60606
671,60654
672,60654
673,60654
674,60606
675,60654
676,60611
677,60654
678,60661
679,60654
680,60606
681,60615
682,60637
683,60615
684,60661
685,60661
686,60601
687,60657
688,60625
689,60615
690,60637
691,60615
692,nan
693,60615
694,60605
695,60605
696,60614
697,60661
698,60605
699,60201
700,60605
701,60605
702,60625
703,60625
704,60625
705,60625
706,60625
707,60661
708,60625
709,60625
710,60606
711,60601
712,60645
713,60654
714,60654
715,60613
716,60613
717,60610
718,60614
719,60614
720,60614
721,60614
722,60661
723,60647
724,60647
725,60661
726,60642
727,606476
728,60613
729,nan
730,60647
731,60625
732,nan
733,60606
734,60647
735,60606
736,60626
737,60608
738,60611
739,60611
740,60610
741,60657
742,60622
743,nan
744,60606
745,60607
746,60607
747,60611
748,60611
749,60642
750,60604
751,60696
752,60614
753,60696
754,60614
755,60614
756,60613
757,60611
758,60611
759,nan
760,60606
761,60614
762,60614
763,nan
764,60611
765,60640
766,60657
767,60625
768,9020
769,60640
770,9020
771,9020
772,60640
773,60640
774,9020
775,60625
776,60640
777,60606
778,60622
779,60622
780,60606
781,60622
782,60604
783,60642
784,60642
785,60604
786,60696
787,60615
788,60637
789,60601
790,60607
791,nan
792,60610
793,60618
794,60618
795,60618-9997
796,60613
797,60610
798,60613
799,60657
800,60618
801,606476
802,60637
803,60607
804,60614
805,60614
806,60614
807,60660
808,60614
809,60645
810,60601
811,60661
812,60607
813,60661
814,60654
815,60607
816,60654
817,60607
818,60654
819,60606
820,60607
821,60626
822,60661
823,60607
824,60606
825,60626
826,60657
827,60657
828,60614
829,60619
830,nan
831,60607
832,60625
833,60625
834,60607
835,60607
836,60607
837,60625
838,60607
839,60625
840,60606
841,60614
842,60647
843,60601
844,60601
845,60610
846,60661
847,60611
848,60611
849,60610
850,60654
851,60661
852,nan
853,60610
854,60602
855,60611
856,60618
857,60611
858,60614
859,nan
860,60610
861,60610
862,60610
863,60610
864,60606
865,60661
866,60622
867,60622
868,60622
869,60661
870,60654
871,nan
872,60614
873,60696
874,60622
875,60610
876,60606
877,60613
878,60640
879,60640
880,60660
881,nan
882,60661
883,60607
884,60606
885,nan
886,60606
887,60661
888,60613
889,60661
890,60606
891,60606
892,60601
893,60601
894,60606
895,60601
896,60606
897,60606
898,60661
899,60601
900,60606
901,60606
902,60601
903,60601
904,60606
905,60601
906,60616
907,60614
908,60616
909,60616
910,60604
911,60696
912,60622
913,60657
914,60657
915,60611
916,60654
917,60661
918,60622
919,60654
920,60607
921,60622
922,60622
923,60622
924,60607
925,60615
926,60601
927,60615
928,nan
929,60613
930,60601
931,60626
932,60601
933,60610
934,60606
935,60611
936,60661
937,60661
938,60610
939,60661
940,60614
941,60647
942,60614
943,60614
944,nan
945,nan
946,nan
947,nan
948,nan
949,60601
950,60091
951,60201
952,60201
953,nan
954,60626
955,60615
956,60615
957,nan
958,60604
959,60615
960,60604
961,nan
962,60615
963,60613
964,60613
965,60613
966,9020
967,60640
968,60601
969,60606
970,9020
971,9020
972,60611
973,60606
974,60616
975,60616
976,60622
977,60618
978,60654
979,60654
980,60654
981,60654
982,60654
983,60654
984,60654
985,60654
986,60610
987,60654
988,60654
989,60654
990,60613
991,60601
992,60661
993,60626
994,60622
995,60622
996,60622
997,60642
998,60622
999,60643
1000,60643
1001,60611
1002,60696
1003,60616
1004,60601
1005,60606
1006,60606
1007,60601
1008,60614
1009,60605
1010,60607
1011,60622
1012,60622
1013,60661
1014,60622
1015,60622
1016,60642
1017,60607
1018,60645
1019,60622-4580
1020,60654
1021,60657
1022,60654
1023,60606
1024,60606
1025,60606
1026,60604
1027,60606
1028,60604
1029,60604
1030,60610
1031,60614
1032,60614
1033,60606
1034,nan
1035,60654
1036,nan
1037,60606
1038,nan
1039,60607
1040,nan
1041,60610
1042,nan
1043,60610
1044,60610
1045,nan
1046,nan
1047,60611
1048,60614
1049,60610
1050,60661
1051,60654
1052,60610
1053,60610
1054,60610
1055,60610
1056,60610
1057,60616
1058,60605
1059,60626
1060,60613
1061,606476
1062,60626
1063,60615
1064,60661
1065,60654
1066,60625
1067,60622
1068,60625
1069,60622
1070,60606
1071,60661
1072,60661
1073,60696
1074,60661
1075,60661
1076,60696
1077,60661
1078,60642
1079,60618
1080,60657
1081,60651
1082,60611
1083,60604
1084,60611
1085,60611
1086,60610
1087,60661
1088,60606
1089,60601
1090,60605
1091,60604
1092,60654
1093,60604
1094,60610
1095,60601
1096,60605
1097,60654
1098,60606
1099,60611
1100,60605
1101,60603
1102,60615
1103,60637
1104,60603
1105,60605
1106,60637
1107,60605
1108,60615
1109,60615
1110,60603
1111,60614
1112,60606
1113,60611
1114,60601
1115,60601
1116,60606
1117,60601
1118,60611
1119,nan
1120,60601
1121,60661
1122,60605
1123,60605
1124,60661
1125,60657
1126,60610
1127,nan
1128,60614
1129,60614
1130,60614
1131,nan
1132,nan
1133,60610
1134,60606
1135,60606
1136,60606
1137,60606
1138,60606
1139,60654
1140,60606
1141,60654
1142,60626
1143,60610
1144,60610
1145,60606
1146,60610
1147,60610
1148,nan
1149,60614
1150,nan
1151,60606
1152,60610
1153,60614
1154,60607
1155,60622
1156,60622
1157,60625
1158,60640
1159,60640
1160,60610
1161,60607
1162,60611
1163,60625
1164,60611
1165,60606
1166,60614
1167,60614
1168,60622
1169,60613
1170,60603
1171,60611
1172,60611
1173,60603
1174,60614
1175,60657
1176,60610
1177,60657
1178,60661
1179,60657
1180,60610
1181,60657
1182,60657
1183,60657
1184,60657
1185,60657
1186,60661
1187,60605
1188,60607
1189,60618
1190,nan
1191,60601
1192,60611
1193,60601
1194,60661
1195,60661
